indice,nome,url_produto,url_imagem,arquivo_imagem
89,LIXEIRA INOX COM PEDAL 20 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-20litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC001-20L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC001-20L-scaled.jpg
90,LIXEIRA INOX COM PEDAL 30 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-30litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC001-30L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC001-30L-scaled.jpg
91,LIXEIRA INOX COM PEDAL 3 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-3litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC001-3L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC001-3L-scaled.jpg
92,LIXEIRA INOX COM PEDAL 5 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-5litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC001-5L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC001-5L-scaled.jpg
93,LIXEIRA INOX COM PEDAL 7 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-7litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC001-7L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC001-7L-scaled.jpg
94,LIXEIRA INOX QUADRADA COM PEDAL12 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-quadrada-12litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC1248-12L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC1248-12L-scaled.jpg
95,LIXEIRA INOX QUADRADA COM PEDAL 20 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-quadrada-20litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC1248-12L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC1248-12L-scaled.jpg
96,LIXEIRA INOX QUADRADA COM PEDAL 30 LITROS - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/linha-de-inox/lixeira-inox-com-pedal-quadrada-30litros/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/05/FTC1248-30L-scaled.jpg?fit=2532%2C2560&ssl=1,imagens\FTC1248-30L-scaled.jpg
97,5 LIXEIRAS PARA COLETA SELETIVA 100 LITROS - KIT COM 5 LIXEIRAS,https://www.larplasticos.com.br/produtos/lixeira-basculante-para-coleta-seletiva-100L/5-lixeiras-para-coleta-seletiva-lar-100-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/04/Kit-Coleta-Seletiva-Basc-100L-Inj-5unidades.png?fit=1080%2C1080&ssl=1,imagens\Kit-Coleta-Seletiva-Basc-100L-Inj-5unidades.png
98,6 LIXEIRAS PARA COLETA SELETIVA 100 LITROS - KIT COM 6 LIXEIRAS,https://www.larplasticos.com.br/produtos/lixeira-basculante-para-coleta-seletiva-100L/6-lixeiras-para-coleta-seletiva-lar-100-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/04/Kit-Coleta-Seletiva-Basc-100L-Inj-6unidades.png?fit=1080%2C1080&ssl=1,imagens\Kit-Coleta-Seletiva-Basc-100L-Inj-6unidades.png
99,3 Lixeiras para Coleta Seletiva 60 Litros - Kit LAR Plásticos,https://www.larplasticos.com.br/produtos/lixeira-basculante-para-coleta-seletiva-60L/3-lixeiras-para-coleta-seletiva-lar-60-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/09/Kit-03.png?fit=1000%2C1000&ssl=1,imagens\Kit-03.png
100,4 Lixeiras para Coleta Seletiva 60 Litros - Kit LAR Plásticos,https://www.larplasticos.com.br/produtos/lixeira-basculante-para-coleta-seletiva-60L/4-lixeiras-para-coleta-seletiva-lar-60-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/09/Kit-04.png?fit=1000%2C1000&ssl=1,imagens\Kit-04.png
101,5 Lixeiras para Coleta Seletiva 60 Litros - Kit LAR Plásticos,https://www.larplasticos.com.br/produtos/lixeira-basculante-para-coleta-seletiva-60L/5-lixeiras-para-coleta-seletiva-lar-60-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/09/Kit-5-Basculantes-60L.png?fit=1000%2C1000&ssl=1,imagens\Kit-5-Basculantes-60L.png
102,6 Lixeiras para Coleta Seletiva 60 Litros - Kit LAR Plásticos,https://www.larplasticos.com.br/produtos/lixeira-basculante-para-coleta-seletiva-60L/6-lixeiras-para-coleta-seletiva-lar-60-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/09/Kit-6.png?fit=1000%2C1000&ssl=1,imagens\Kit-6.png
103,Lixeira Papeleira 50 Litros - Com Suporte | Lar Plásticos,https://www.larplasticos.com.br/produtos/lixeira-papeleira-de-50-litros/lixeira-papeleira-50-litros-com-suporte,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/LIX-PAPELEIRA-S-SUPORTE-AMARELO.jpg?fit=1000%2C1000&ssl=1,imagens\LIX-PAPELEIRA-S-SUPORTE-AMARELO.jpg
104,Lixeira Basculante 15 Litros - Cestos Plásticos da Lar Plásticos,https://www.larplasticos.com.br/produtos/lixeiras-basculante/lixeira-basculante-15-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/cesto-de-lixo-15-litros-basculante-amarelo.jpg?fit=480%2C480&ssl=1,imagens\cesto-de-lixo-15-litros-basculante-amarelo.jpg
105,Lixeira Basculante 23 Litros - Lixeiras Plásticas Lar Plásticos,https://www.larplasticos.com.br/produtos/lixeiras-basculante/lixeira-basculante-23-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/cestos-de-lixo-com-tampa-basculante-23L.jpg?fit=480%2C480&ssl=1,imagens\cestos-de-lixo-com-tampa-basculante-23L.jpg
